book_isbn,title,author,price,category_id,sub_category_id,shelf_location,stock_qty
B460101001,ผ่าพิภพไททัน (Attack on Titan) เล่ม 1,Hajime Isayama,90,1,1,A-01,5
B460101002,ผ่าพิภพไททัน (Attack on Titan) เล่ม 2,Hajime Isayama,90,1,1,A-01,5
B460101003,ผ่าพิภพไททัน (Attack on Titan) เล่ม 3,Hajime Isayama,90,1,1,A-01,5
B460101004,ผ่าพิภพไททัน (Attack on Titan) เล่ม 4,Hajime Isayama,90,1,1,A-01,5
B460101005,ผ่าพิภพไททัน (Attack on Titan) เล่ม 5,Hajime Isayama,90,1,1,A-01,5
B460101006,ผ่าพิภพไททัน (Attack on Titan) เล่ม 6,Hajime Isayama,90,1,1,A-01,5
B460101007,ผ่าพิภพไททัน (Attack on Titan) เล่ม 7,Hajime Isayama,90,1,1,A-01,5
B460101008,ผ่าพิภพไททัน (Attack on Titan) เล่ม 8,Hajime Isayama,90,1,1,A-01,5
B460101009,ผ่าพิภพไททัน (Attack on Titan) เล่ม 9,Hajime Isayama,90,1,1,A-01,5
B460101010,ผ่าพิภพไททัน (Attack on Titan) เล่ม 10,Hajime Isayama,90,1,1,A-01,5
B460101011,ผ่าพิภพไททัน (Attack on Titan) เล่ม 11,Hajime Isayama,90,1,1,A-01,5
B460101012,ผ่าพิภพไททัน (Attack on Titan) เล่ม 12,Hajime Isayama,90,1,1,A-01,5
B460101013,ผ่าพิภพไททัน (Attack on Titan) เล่ม 13,Hajime Isayama,90,1,1,A-01,5
B460101014,ผ่าพิภพไททัน (Attack on Titan) เล่ม 14,Hajime Isayama,90,1,1,A-01,5
B460101015,ผ่าพิภพไททัน (Attack on Titan) เล่ม 15,Hajime Isayama,90,1,1,A-01,5
B460101016,ผ่าพิภพไททัน (Attack on Titan) เล่ม 16,Hajime Isayama,90,1,1,A-01,5
B460101017,ผ่าพิภพไททัน (Attack on Titan) เล่ม 17,Hajime Isayama,90,1,1,A-01,5
B460101018,ผ่าพิภพไททัน (Attack on Titan) เล่ม 18,Hajime Isayama,90,1,1,A-01,5
B460101019,ผ่าพิภพไททัน (Attack on Titan) เล่ม 19,Hajime Isayama,90,1,1,A-01,5
B460101020,ผ่าพิภพไททัน (Attack on Titan) เล่ม 20,Hajime Isayama,90,1,1,A-01,5
B460101021,ผ่าพิภพไททัน (Attack on Titan) เล่ม 21,Hajime Isayama,90,1,1,A-01,5
B460101022,ผ่าพิภพไททัน (Attack on Titan) เล่ม 22,Hajime Isayama,90,1,1,A-01,5
B460101023,ผ่าพิภพไททัน (Attack on Titan) เล่ม 23,Hajime Isayama,90,1,1,A-01,5
B460101024,ผ่าพิภพไททัน (Attack on Titan) เล่ม 24,Hajime Isayama,90,1,1,A-01,5
B460101025,ผ่าพิภพไททัน (Attack on Titan) เล่ม 25,Hajime Isayama,90,1,1,A-01,5
B460101026,ผ่าพิภพไททัน (Attack on Titan) เล่ม 26,Hajime Isayama,90,1,1,A-01,5
B460101027,ผ่าพิภพไททัน (Attack on Titan) เล่ม 27,Hajime Isayama,90,1,1,A-01,5
B460101028,ผ่าพิภพไททัน (Attack on Titan) เล่ม 28,Hajime Isayama,90,1,1,A-01,5
B460101029,ผ่าพิภพไททัน (Attack on Titan) เล่ม 29,Hajime Isayama,90,1,1,A-01,5
B460101030,ผ่าพิภพไททัน (Attack on Titan) เล่ม 30,Hajime Isayama,90,1,1,A-01,5
B460101031,ผ่าพิภพไททัน (Attack on Titan) เล่ม 31,Hajime Isayama,90,1,1,A-01,5
B460101032,ผ่าพิภพไททัน (Attack on Titan) เล่ม 32,Hajime Isayama,90,1,1,A-01,5
B460101033,ผ่าพิภพไททัน (Attack on Titan) เล่ม 33,Hajime Isayama,90,1,1,A-01,5
B460101034,ผ่าพิภพไททัน (Attack on Titan) เล่ม 34,Hajime Isayama,90,1,1,A-01,5
B470101001,ดาบพิฆาตอสูร (Demon Slayer) เล่ม 1,Koyoharu Gotouge,90,1,1,A-02,5
B470101002,ดาบพิฆาตอสูร (Demon Slayer) เล่ม 2,Koyoharu Gotouge,90,1,1,A-02,5
B470101003,ดาบพิฆาตอสูร (Demon Slayer) เล่ม 3,Koyoharu Gotouge,90,1,1,A-02,5
B470101004,ดาบพิฆาตอสูร (Demon Slayer) เล่ม 4,Koyoharu Gotouge,90,1,1,A-02,5
B470101005,ดาบพิฆาตอสูร (Demon Slayer) เล่ม 5,Koyoharu Gotouge,90,1,1,A-02,5
B470101006,ดาบพิฆาตอสูร (Demon Slayer) เล่ม 6,Koyoharu Gotouge,90,1,1,A-02,5
B470101007,ดาบพิฆาตอสูร (Demon Slayer) เล่ม 7,Koyoharu Gotouge,90,1,1,A-02,5
B470101008,ดาบพิฆาตอสูร (Demon Slayer) เล่ม 8,Koyoharu Gotouge,90,1,1,A-02,5
B470101009,ดาบพิฆาตอสูร (Demon Slayer) เล่ม 9,Koyoharu Gotouge,90,1,1,A-02,5
B470101010,ดาบพิฆาตอสูร (Demon Slayer) เล่ม 10,Koyoharu Gotouge,90,1,1,A-02,5
B470101011,ดาบพิฆาตอสูร (Demon Slayer) เล่ม 11,Koyoharu Gotouge,90,1,1,A-02,5
B470101012,ดาบพิฆาตอสูร (Demon Slayer) เล่ม 12,Koyoharu Gotouge,90,1,1,A-02,5
