รหัส ISBN (ชื่อเรื่อง),รหัสบาร์โค้ดประจำเล่ม (Copy ID),ชื่อหนังสือ (Book Title),หมายเลขเล่ม,ผู้แต่ง (Author),ราคาปก (บาท),หมวดหมู่หลัก,หมวดหมู่อย่อย,ชั้นวาง (Shelf),สถานะ (Status)
B460101001,B460101001-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 1,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101001,B460101001-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 1,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101001,B460101001-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 1,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101001,B460101001-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 1,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101001,B460101001-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 1,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101002,B460101002-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 2,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101002,B460101002-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 2,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101002,B460101002-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 2,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101002,B460101002-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 2,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101002,B460101002-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 2,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101003,B460101003-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 3,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101003,B460101003-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 3,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101003,B460101003-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 3,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101003,B460101003-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 3,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101003,B460101003-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 3,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101004,B460101004-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 4,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101004,B460101004-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 4,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101004,B460101004-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 4,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101004,B460101004-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 4,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101004,B460101004-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 4,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101005,B460101005-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 5,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101005,B460101005-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 5,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101005,B460101005-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 5,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101005,B460101005-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 5,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101005,B460101005-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 5,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101006,B460101006-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 6,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101006,B460101006-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 6,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101006,B460101006-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 6,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101006,B460101006-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 6,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101006,B460101006-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 6,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101007,B460101007-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 7,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101007,B460101007-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 7,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101007,B460101007-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 7,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101007,B460101007-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 7,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101007,B460101007-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 7,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101008,B460101008-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 8,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101008,B460101008-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 8,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101008,B460101008-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 8,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101008,B460101008-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 8,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101008,B460101008-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 8,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101009,B460101009-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 9,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101009,B460101009-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 9,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101009,B460101009-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 9,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101009,B460101009-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 9,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101009,B460101009-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 9,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101010,B460101010-C01,ผ่าพิภพไททัน (Attack on Titan) เล่ม 10,เล่มที่ 1,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101010,B460101010-C02,ผ่าพิภพไททัน (Attack on Titan) เล่ม 10,เล่มที่ 2,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101010,B460101010-C03,ผ่าพิภพไททัน (Attack on Titan) เล่ม 10,เล่มที่ 3,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101010,B460101010-C04,ผ่าพิภพไททัน (Attack on Titan) เล่ม 10,เล่มที่ 4,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
B460101010,B460101010-C05,ผ่าพิภพไททัน (Attack on Titan) เล่ม 10,เล่มที่ 5,Hajime Isayama,90.00,1,1,A-01,ว่าง (อยู่บนชั้น)
