order_id,book_isbn
REC00001,B550205069
REC00002,B500102054
REC00003,B560205019
REC00003,B570205006
REC00003,B530103015
REC00004,B480101040
REC00004,B500102002
REC00005,B570205026
REC00005,B480101038
REC00005,B560205004
REC00006,B480101040
REC00007,B500102045
REC00007,B550205004
REC00007,B520103029
REC00007,B520103012
REC00008,B470101005
REC00008,B570205047
REC00008,B470101006
REC00009,B530103002
REC00010,B480101043
REC00010,B550205052
REC00010,B460101024
REC00010,B470101021
REC00011,B520103012
REC00011,B500102097
REC00011,B470101011
REC00011,B480101096
REC00012,B540204012
REC00013,B480101034
REC00013,B470101003
REC00014,B500102064
REC00015,B500102015
REC00015,B500102089
REC00015,B550205041
REC00016,B480101012
REC00016,B540204003
REC00016,B480101080
REC00016,B550205039
REC00017,B530103007
REC00017,B480101063
REC00017,B480101102
REC00017,B460101016
REC00018,B500102007
REC00018,B550205079
REC00018,B540204002
REC00018,B460101014
REC00019,B490101013
REC00019,B560205026
REC00019,B500102071
REC00020,B530103040
REC00020,B480101102
REC00020,B500102052
REC00021,B500102037
REC00022,B550205014
REC00022,B490101026
REC00022,B520103018
REC00022,B460101003
REC00023,B470101019
REC00024,B570205042
REC00024,B550205007
REC00024,B530103020
REC00025,B520103004
REC00026,B480101040
REC00026,B460101024
REC00026,B530103010
REC00027,B480101101
REC00027,B460101016
REC00027,B500102057
REC00027,B510103005
REC00028,B510103009
REC00028,B480101005
REC00028,B500102053
REC00029,B530103029
REC00029,B500102016
REC00030,B550205057
REC00030,B530103023
REC00030,B530103011
REC00031,B530103011
REC00032,B530103005
REC00032,B530103015
REC00032,B480101074
REC00033,B500102010
REC00033,B520103034
REC00033,B500102089
REC00033,B470101003
REC00034,B500102090
REC00034,B460101024
REC00034,B480101021
REC00034,B500102013
REC00035,B500102040
REC00035,B480101081
REC00035,B460101021
REC00036,B530103015
REC00037,B560205040
REC00037,B540204011
REC00037,B550205009
REC00038,B500102067
REC00039,B550205068
REC00039,B500102027
REC00039,B500102058
REC00040,B560205019
REC00040,B480101020
REC00041,B540204009
REC00041,B560205031
REC00041,B540204005
REC00041,B560205008
REC00042,B560205007
REC00043,B560205008
REC00043,B490101009
REC00043,B540204025
REC00043,B560205031
REC00044,B500102099
REC00044,B530103034
REC00045,B540204003
REC00045,B570205043
REC00046,B510103006
REC00046,B530103031
REC00046,B540204016
REC00047,B550205024
REC00047,B570205017
REC00047,B530103017
REC00048,B540204010
REC00048,B560205031
REC00049,B460101021
REC00049,B530103006
REC00049,B460101034
REC00050,B480101055
REC00051,B570205002
REC00051,B490101023
REC00052,B460101030
REC00052,B480101006
REC00052,B530103004
REC00053,B460101030
REC00053,B480101026
REC00054,B520103011
REC00054,B480101026
REC00055,B540204027
REC00056,B480101043
REC00056,B480101016
REC00056,B480101008
REC00056,B530103046
REC00057,B570205007
REC00057,B500102093
REC00057,B560205010
REC00057,B510103013
REC00058,B510103003
REC00058,B520103005
REC00058,B500102068
REC00059,B500102048
REC00059,B460101001
REC00060,B460101022
REC00060,B560205012
REC00061,B500102005
REC00061,B460101015
REC00061,B560205016
REC00061,B480101008
REC00062,B530103032
REC00062,B560205038
REC00063,B510103005
REC00063,B500102030
REC00064,B550205044
REC00064,B490101014
REC00065,B500102051
REC00065,B550205009
REC00065,B570205009
REC00066,B530103017
REC00066,B560205009
REC00066,B560205010
REC00066,B550205079
REC00067,B480101014
REC00067,B470101022
REC00067,B520103023
REC00068,B550205033
REC00068,B520103002
REC00068,B500102007
REC00068,B570205049
REC00069,B540204013
REC00069,B570205006
REC00069,B570205001
REC00069,B490101010
REC00070,B520103010
REC00070,B530103009
REC00071,B490101018
REC00072,B500102062
REC00072,B550205066
REC00072,B470101018
REC00073,B500102099
REC00073,B500102025
REC00073,B480101086
REC00073,B480101025
REC00074,B530103011
REC00075,B500102092
REC00075,B550205031
REC00075,B500102002
REC00075,B550205069
REC00076,B560205013
REC00076,B520103018
REC00076,B480101011
REC00076,B500102017
REC00077,B550205071
REC00077,B460101030
REC00077,B550205073
REC00077,B520103001
REC00078,B480101099
REC00078,B530103005
REC00078,B480101073
REC00079,B540204023
REC00080,B470101022
REC00080,B480101032
REC00080,B460101011
REC00080,B550205078
REC00081,B550205002
REC00081,B480101008
REC00081,B570205009
REC00081,B460101002
REC00082,B550205011
REC00082,B480101093
REC00082,B540204006
REC00083,B480101108
REC00083,B570205023
REC00083,B570205046
REC00083,B540204030
REC00084,B460101023
REC00084,B530103042
REC00085,B520103015
REC00086,B500102053
REC00087,B530103025
REC00088,B480101033
REC00088,B550205042
REC00089,B520103034
REC00089,B520103016
REC00089,B500102021
REC00090,B530103049
REC00090,B480101062
REC00090,B550205047
REC00091,B500102011
REC00092,B480101045
REC00093,B480101033
REC00093,B550205068
REC00093,B480101050
REC00094,B550205052
REC00095,B570205046
REC00095,B500102014
REC00095,B550205015
REC00096,B560205016
REC00097,B550205013
REC00098,B560205015
REC00098,B470101013
REC00099,B500102028
REC00099,B530103028
REC00099,B570205034
REC00099,B550205030
REC00100,B550205020
REC00101,B480101054
REC00101,B480101109
REC00101,B480101030
REC00101,B570205028
REC00102,B480101088
REC00102,B470101013
REC00102,B490101004
REC00103,B500102054
REC00104,B540204020
REC00104,B500102019
REC00104,B550205040
REC00104,B570205006
REC00105,B570205044
REC00105,B550205004
REC00105,B470101001
REC00106,B470101015
REC00107,B550205024
REC00108,B550205023
REC00108,B520103029
REC00109,B560205024
REC00110,B470101017
REC00110,B530103029
REC00110,B500102038
REC00111,B570205010
REC00111,B480101014
REC00111,B480101018
REC00112,B500102079
REC00112,B560205014
REC00113,B500102079
REC00114,B500102062
REC00115,B550205061
REC00115,B560205018
REC00115,B560205002
REC00116,B530103040
REC00117,B460101023
REC00117,B530103017
REC00117,B480101081
REC00117,B480101005
REC00118,B470101023
REC00118,B520103018
REC00118,B570205017
REC00118,B480101081
REC00119,B500102075
REC00120,B550205039
REC00120,B500102026
REC00121,B500102026
REC00121,B530103040
REC00121,B500102041
REC00122,B500102092
REC00122,B530103023
REC00123,B560205040
REC00123,B560205026
REC00124,B560205024
REC00124,B500102044
REC00124,B500102023
REC00125,B550205063
REC00125,B460101002
REC00126,B480101056
REC00126,B490101017
REC00126,B570205006
REC00127,B570205012
REC00128,B530103037
REC00128,B490101025
REC00128,B570205008
REC00128,B500102038
REC00129,B500102044
REC00130,B520103028
REC00131,B480101028
REC00131,B490101006
REC00132,B550205045
REC00132,B570205049
REC00132,B500102086
REC00132,B540204018
REC00133,B550205003
REC00133,B530103008
REC00133,B550205076
REC00134,B480101087
REC00134,B500102058
REC00134,B500102093
REC00134,B500102044
REC00135,B500102065
REC00135,B520103017
REC00135,B540204008
REC00136,B500102034
REC00137,B480101045
REC00137,B490101007
REC00137,B490101013
REC00137,B480101072
REC00138,B500102105
REC00138,B560205001
REC00138,B550205075
REC00138,B530103042
REC00139,B550205069
REC00139,B550205037
REC00139,B520103006
REC00139,B530103001
REC00140,B570205017
REC00140,B500102086
REC00140,B480101067
REC00140,B570205005
REC00141,B550205029
REC00141,B480101013
REC00142,B520103004
REC00143,B570205017
REC00143,B500102023
REC00143,B530103034
REC00144,B500102039
REC00144,B500102105
REC00145,B490101013
REC00145,B570205048
REC00146,B520103004
REC00146,B460101002
REC00146,B470101013
REC00147,B530103003
REC00147,B520103017
REC00147,B530103012
REC00147,B540204025
REC00148,B500102085
REC00148,B530103037
REC00149,B530103008
REC00150,B560205032
REC00150,B480101001
REC00150,B460101032
REC00151,B480101017
REC00151,B520103019
REC00151,B490101025
REC00151,B500102031
REC00152,B560205037
REC00152,B470101019
REC00152,B470101007
REC00152,B530103033
REC00153,B530103034
REC00153,B570205049
REC00154,B500102105
REC00154,B550205072
REC00154,B550205008
REC00154,B530103037
REC00155,B500102014
REC00156,B540204019
REC00157,B550205009
REC00157,B540204017
REC00157,B560205012
REC00158,B500102016
REC00158,B520103031
REC00159,B480101067
REC00159,B550205012
REC00160,B550205024
REC00160,B480101093
REC00161,B540204030
REC00162,B480101040
REC00163,B530103019
REC00163,B560205027
REC00163,B550205056
REC00163,B570205003
REC00164,B500102007
REC00165,B540204014
REC00165,B550205063
REC00165,B550205040
REC00166,B460101007
REC00166,B530103009
REC00166,B500102096
REC00167,B500102081
REC00168,B480101011
REC00168,B520103022
REC00168,B560205004
REC00168,B550205038
REC00169,B550205047
REC00170,B560205031
REC00170,B550205023
REC00170,B470101012
REC00171,B570205017
REC00171,B480101107
REC00172,B480101047
REC00173,B500102093
REC00173,B550205034
REC00174,B530103010
REC00174,B470101013
REC00174,B500102058
REC00174,B510103016
REC00175,B500102043
REC00176,B560205009
REC00176,B480101076
REC00176,B470101021
REC00176,B560205012
REC00177,B480101073
REC00178,B570205012
REC00178,B520103032
REC00178,B540204008
REC00179,B480101066
REC00179,B500102077
REC00180,B470101006
REC00180,B510103006
REC00180,B490101024
REC00180,B520103032
REC00181,B470101011
REC00181,B570205043
REC00181,B480101054
REC00182,B480101094
REC00182,B500102016
REC00182,B550205052
REC00182,B500102066
REC00183,B520103035
REC00183,B480101034
REC00184,B570205018
REC00184,B560205011
REC00184,B550205075
REC00184,B500102092
REC00185,B500102049
REC00185,B510103014
REC00185,B530103034
REC00185,B540204001
REC00186,B500102087
REC00187,B540204009
REC00187,B460101006
REC00187,B490101005
REC00188,B480101002
REC00188,B480101013
REC00188,B480101102
REC00188,B570205004
REC00189,B550205026
REC00189,B490101022
REC00190,B530103042
REC00190,B480101069
REC00190,B490101004
REC00191,B540204008
REC00191,B530103021
REC00191,B520103029
REC00192,B520103020
