order_id,customer_id,days_rented,days_late,grand_total,points_used,earned_points,date_issued,return_status
REC00001,CUST001,10,0,201.0,0,4,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00002,CUST023,10,0,67.0,0,2,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00003,CUST003,3,0,60.0,0,4,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00004,CUST007,1,0,14.0,0,3,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00005,CUST027,10,0,268.0,0,5,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00006,CUST025,10,0,134.0,0,3,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00007,CUST026,3,0,20.0,0,2,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00008,CUST008,7,0,47.0,0,2,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00009,CUST025,1,0,28.0,0,5,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00010,CUST026,3,0,40.0,0,3,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00011,CUST022,10,0,134.0,0,3,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00012,CUST018,7,0,141.0,0,4,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00013,CUST028,10,0,67.0,0,2,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00014,CUST006,7,0,47.0,0,2,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00015,CUST015,7,0,141.0,0,4,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00016,CUST024,7,0,47.0,0,2,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00017,CUST008,10,0,134.0,0,3,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00018,CUST013,10,0,67.0,0,2,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00019,CUST028,1,0,14.0,0,3,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00020,CUST022,1,0,28.0,0,5,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00021,CUST011,10,0,67.0,0,2,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00022,CUST011,10,0,134.0,0,3,2026-08-30 16:35:04,ตรงเวลา (On-time)
REC00023,CUST029,3,1,60.0,0,2,2026-08-30 16:35:05,คืนสาย (Late)
REC00024,CUST017,10,0,67.0,0,2,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00025,CUST020,10,0,67.0,0,2,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00026,CUST029,3,0,80.0,0,5,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00027,CUST022,7,0,47.0,0,2,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00028,CUST011,1,0,21.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00029,CUST013,1,0,21.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00030,CUST009,10,0,268.0,0,5,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00031,CUST030,3,0,60.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00032,CUST017,3,0,60.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00033,CUST005,10,0,201.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00034,CUST023,7,0,141.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00035,CUST004,7,0,188.0,0,5,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00036,CUST003,7,1,228.0,0,4,2026-08-30 16:35:05,คืนสาย (Late)
REC00037,CUST001,3,1,30.0,0,1,2026-08-30 16:35:05,คืนสาย (Late)
REC00038,CUST005,3,0,40.0,0,3,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00039,CUST009,10,0,268.0,0,5,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00040,CUST027,1,0,7.0,0,2,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00041,CUST014,3,0,60.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00042,CUST016,10,0,67.0,0,2,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00043,CUST022,3,0,80.0,0,5,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00044,CUST030,10,0,268.0,0,5,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00045,CUST028,7,0,47.0,0,2,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00046,CUST013,1,0,7.0,0,2,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00047,CUST028,7,0,141.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00048,CUST027,1,0,21.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00049,CUST026,1,0,7.0,0,2,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00050,CUST025,1,0,21.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00051,CUST012,3,0,40.0,0,3,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00052,CUST030,3,0,20.0,0,2,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00053,CUST016,10,0,134.0,0,3,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00054,CUST022,3,0,60.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00055,CUST006,3,0,80.0,0,5,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00056,CUST009,7,0,188.0,0,5,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00057,CUST003,3,0,20.0,0,2,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00058,CUST020,7,0,141.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00059,CUST005,7,0,94.0,0,3,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00060,CUST021,10,1,154.0,0,2,2026-08-30 16:35:05,คืนสาย (Late)
REC00061,CUST019,1,0,14.0,0,3,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00062,CUST004,3,0,20.0,0,2,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00063,CUST015,1,0,28.0,0,5,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00064,CUST010,7,0,94.0,0,3,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00065,CUST021,3,0,80.0,0,5,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00066,CUST026,10,0,201.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00067,CUST014,10,0,201.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00068,CUST004,1,1,17.0,0,1,2026-08-30 16:35:05,คืนสาย (Late)
REC00069,CUST014,10,0,201.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00070,CUST021,3,0,60.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00071,CUST007,10,0,268.0,0,5,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00072,CUST020,10,0,67.0,0,2,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00073,CUST002,1,0,7.0,0,2,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00074,CUST019,7,0,141.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00075,CUST005,1,0,28.0,0,5,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00076,CUST021,3,0,20.0,0,2,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00077,CUST017,3,0,20.0,0,2,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00078,CUST014,10,0,67.0,0,2,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00079,CUST023,3,0,60.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00080,CUST022,10,0,134.0,0,3,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00081,CUST029,1,0,21.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00082,CUST019,3,0,80.0,0,5,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00083,CUST020,3,1,90.0,0,3,2026-08-30 16:35:05,คืนสาย (Late)
REC00084,CUST001,3,0,40.0,0,3,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00085,CUST024,10,0,201.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00086,CUST016,10,0,201.0,0,4,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00087,CUST020,7,0,47.0,0,2,2026-08-30 16:35:05,ตรงเวลา (On-time)
REC00088,CUST003,7,0,94.0,0,3,2026-08-30 16:35:05,ตรงเวลา (On-time)
